Category,Adjective,Promotional_Intensity,SD_Intensity,N_Participants,N_Observations,SE_Intensity
ATTITUDE,extraordinary,0.988888889,0.035136418,10,10,0.011111111
ATTITUDE,superb,0.974603175,0.045227006,10,10,0.014302035
ATTITUDE,incredible,0.87989418,0.128325514,10,10,0.040580091
ATTITUDE,phenomenal,0.874603175,0.287380785,10,20,0.090877784
ATTITUDE,astonishing,0.842857143,0.305008086,10,10,0.096452026
ATTITUDE,outstanding,0.811111111,0.130345717,10,10,0.041218935
ATTITUDE,fascinating,0.804232804,0.15616186,10,10,0.049382716
ATTITUDE,thrilling,0.71957672,0.133853023,10,10,0.042328042
ATTITUDE,impressive,0.698412698,0.163935803,10,10,0.051841053
ATTITUDE,exciting,0.645502646,0.150067354,10,10,0.047455464
ATTITUDE,remarkable,0.634920635,0.181237849,10,10,0.05731244
ATTITUDE,excellent,0.587301587,0.050194883,10,10,0.015873016
ATTITUDE,rewarding,0.53968254,0.051115967,10,10,0.016164288
ATTITUDE,surprising,0.455026455,0.153347902,10,10,0.048492864
ATTITUDE,attractive,0.412698413,0.074826114,10,10,0.023662095
ATTITUDE,confident,0.391534392,0.223367057,10,10,0.070634866
ATTITUDE,notable,0.387301587,0.202273624,10,10,0.063964536
ATTITUDE,interesting,0.380952381,0.066926511,10,10,0.021164021
ATTITUDE,appealing,0.35978836,0.086401755,10,10,0.027322634
ATTITUDE,intriguing,0.338624339,0.109290535,10,10,0.034560702
IMPORTANCE,crucial,0.946122027,0.095281194,10,10,0.030130559
IMPORTANCE,paramount,0.926783868,0.119844846,10,20,0.037898268
IMPORTANCE,critical,0.851499483,0.102432678,10,10,0.032392057
IMPORTANCE,indispensable,0.81975181,0.121068897,10,10,0.038285347
IMPORTANCE,pivotal,0.808066184,0.204141615,10,10,0.064555247
IMPORTANCE,imperative,0.803929679,0.180658417,10,10,0.057129208
IMPORTANCE,vital,0.792244054,0.178509501,10,10,0.056449661
IMPORTANCE,ultimate,0.79089969,0.23347893,10,10,0.07383252
IMPORTANCE,momentous,0.763288521,0.260648782,10,10,0.082424382
IMPORTANCE,essential,0.721199586,0.175804962,10,10,0.055594411
IMPORTANCE,invaluable,0.718510858,0.307252402,10,10,0.097161741
IMPORTANCE,fundamental,0.712202689,0.148509903,10,10,0.046962955
IMPORTANCE,urgent,0.677766287,0.251964485,10,10,0.079678166
IMPORTANCE,foundational,0.663288521,0.262214013,10,10,0.082919351
IMPORTANCE,pressing,0.592244054,0.238232409,10,10,0.075335703
IMPORTANCE,profound,0.592244054,0.282920846,10,10,0.089467427
IMPORTANCE,high-priority,0.577766287,0.233699319,10,10,0.073902214
IMPORTANCE,prime,0.577766287,0.243461037,10,10,0.07698914
IMPORTANCE,decisive,0.564632885,0.220624353,10,10,0.069767546
IMPORTANCE,significant,0.535677353,0.137348151,10,10,0.043433299
IMPORTANCE,key,0.521199586,0.210198845,10,10,0.066470711
IMPORTANCE,necessary,0.477766287,0.216360679,10,10,0.068419254
IMPORTANCE,major,0.434332989,0.118210467,10,10,0.037381432
IMPORTANCE,chief,0.419855222,0.220624353,10,10,0.069767546
IMPORTANCE,compelling,0.413650465,0.135097676,10,10,0.042721636
IMPORTANCE,strategic,0.39089969,0.167869962,10,10,0.053085143
IMPORTANCE,influential,0.361944157,0.102373267,10,10,0.03237327
IMPORTANCE,important,0.332988625,0.153370203,10,10,0.048499917
IMPORTANCE,consequential,0.264736298,0.108919229,10,10,0.034443284
NOVELTY,ground-breaking,0.967263427,0.099979321,10,10,0.031616237
NOVELTY,revolutionary,0.938618926,0.110332274,10,20,0.034890129
NOVELTY,paradigm-shifting,0.934526854,0.151139138,10,10,0.047794392
NOVELTY,unprecedented,0.922250639,0.11404088,10,10,0.036062893
NOVELTY,unheard-of,0.868030691,0.175042718,10,10,0.055353368
NOVELTY,unparalleled,0.805626598,0.069048446,10,10,0.021835036
NOVELTY,one-of-a-kind,0.714578005,0.190319827,10,10,0.060184414
NOVELTY,unequaled,0.698209719,0.265295191,10,10,0.083893706
NOVELTY,unique,0.68286445,0.125293593,10,10,0.039621313
NOVELTY,trailblazing,0.668542199,0.212038816,10,10,0.067052561
NOVELTY,unrivaled,0.667519182,0.255242454,10,10,0.080714751
NOVELTY,never-before-seen,0.652173913,0.248490185,10,10,0.078579496
NOVELTY,pioneering,0.641943734,0.140186222,10,10,0.044330776
NOVELTY,game-changing,0.621483376,0.16495668,10,10,0.052163882
NOVELTY,cutting-edge,0.606138107,0.180845724,10,10,0.057188439
NOVELTY,inventive,0.590792839,0.207145337,10,10,0.065505107
NOVELTY,incomparable,0.560102302,0.188635181,10,10,0.059651682
NOVELTY,innovative,0.549872123,0.08069674,10,10,0.02551855
NOVELTY,radical,0.539641944,0.140186222,10,10,0.044330776
NOVELTY,latest,0.514066496,0.222374068,10,10,0.070320855
NOVELTY,emerging,0.498721228,0.188635181,10,10,0.059651682
NOVELTY,novel,0.498721228,0.097052,10,10,0.030690537
NOVELTY,first,0.437340153,0.180120889,10,10,0.056959226
NOVELTY,up-to-date,0.369053708,0.161609713,10,10,0.051105479
NOVELTY,original,0.345268542,0.116142448,10,10,0.036727467
NOVELTY,creative,0.314578005,0.194104,10,10,0.061381074
NOVELTY,newest,0.299232737,0.130409706,10,10,0.04123917
NOVELTY,imaginative,0.26342711,0.052828417,10,10,0.016705812
NOVELTY,up-and-coming,0.207161125,0.168875438,10,10,0.053403102
NOVELTY,recent,0.200255754,0.160879527,10,10,0.050874573
NOVELTY,fresh,0.115089514,0.074124689,10,10,0.023440285
PROBLEM,catastrophic,0.951423488,0.082133237,10,20,0.02597281
PROBLEM,disasterous,0.93772242,0.08373289,10,10,0.026478665
PROBLEM,devastating,0.832740214,0.096078087,10,10,0.030382559
PROBLEM,ruinous,0.802846975,0.249376799,10,10,0.078859868
PROBLEM,hopeless,0.789323843,0.159863559,10,10,0.050553296
PROBLEM,deadly,0.781494662,0.209082599,10,10,0.066117723
PROBLEM,dire,0.754092527,0.14654213,10,10,0.04634069
PROBLEM,grave,0.71886121,0.120973179,10,10,0.038255078
PROBLEM,miserable,0.704626335,0.214312499,10,10,0.067771563
PROBLEM,perilous,0.704626335,0.12003901,10,10,0.037959668
PROBLEM,grim,0.661921708,0.195063391,10,10,0.06168446
PROBLEM,bleak,0.647686833,0.22255828,10,10,0.070379108
PROBLEM,desperate,0.612099644,0.199203507,10,10,0.06299368
PROBLEM,shocking,0.548042705,0.165053638,10,10,0.052194543
PROBLEM,dismal,0.519572954,0.263761653,10,10,0.083408758
PROBLEM,frightening,0.505338078,0.201311539,10,10,0.063660298
PROBLEM,alarming,0.491103203,0.183157856,10,10,0.0579196
PROBLEM,daunting,0.491103203,0.206282943,10,10,0.065232394
PROBLEM,stark,0.491103203,0.170422633,10,10,0.053892369
PROBLEM,formidable,0.476868327,0.130809478,10,10,0.041365589
PROBLEM,intimidating,0.448398577,0.16708723,10,10,0.052837621
PROBLEM,scarce,0.391459075,0.060019505,10,10,0.018979834
PROBLEM,disturbing,0.391459075,0.181304609,10,10,0.057333551
PROBLEM,serious,0.377224199,0.124639863,10,10,0.039414585
PROBLEM,dramatic,0.334519573,0.101768022,10,10,0.032181874
PROBLEM,worrying,0.320284698,0.096078087,10,10,0.030382559
PROBLEM,troubling,0.241992883,0.082526819,10,10,0.026097272
PROBLEM,elusive,0.184341637,0.123298182,10,10,0.038990309
PROBLEM,unmet,0.155871886,0.128484592,10,10,0.040630395
PROBLEM,unanswered,0.149466192,0.075024381,10,10,0.023724792
QUALITIES,foremost,0.991099476,0.028145927,10,10,0.008900524
QUALITIES,premier,0.982198953,0.037527902,10,10,0.011867365
QUALITIES,leading,0.973298429,0.042993613,10,10,0.013595774
QUALITIES,brilliant,0.937696335,0.042993613,10,10,0.013595774
QUALITIES,prestigious,0.935078534,0.141785071,10,10,0.044836376
QUALITIES,distinguished,0.919371728,0.185405707,10,10,0.058630432
QUALITIES,exceptional,0.917975567,0.135856897,10,30,0.042961723
QUALITIES,stellar,0.903664921,0.274792366,10,10,0.086896976
QUALITIES,pre-eminent,0.894764398,0.189793284,10,10,0.060017906
QUALITIES,veteran,0.85026178,0.149440548,10,10,0.047257251
QUALITIES,renowned,0.834554974,0.167815363,10,10,0.053067877
QUALITIES,accomplished,0.804712042,0.127866176,10,10,0.040434835
QUALITIES,thriving,0.783769634,0.159798833,10,10,0.050532828
QUALITIES,talented,0.782198953,0.149379393,10,10,0.047237912
QUALITIES,gifted,0.747120419,0.169132369,10,10,0.053484351
QUALITIES,seasoned,0.696858639,0.277804488,10,10,0.087849492
QUALITIES,forward-thinking,0.687958115,0.249450175,10,10,0.078883072
QUALITIES,reputable,0.656544503,0.198664866,10,10,0.062823347
QUALITIES,longstanding,0.646073298,0.2478824,10,10,0.078387297
QUALITIES,established,0.628272251,0.193079465,10,10,0.061057088
QUALITIES,dedicated,0.612565445,0.049669283,10,10,0.015706806
QUALITIES,credentialed,0.605759162,0.213029609,10,10,0.067365877
QUALITIES,certified,0.596858639,0.165564275,10,10,0.052356021
QUALITIES,successful,0.596858639,0.181366577,10,10,0.057353147
QUALITIES,dynamic,0.581151832,0.172854178,10,10,0.054661291
QUALITIES,skilled,0.57591623,0.176601894,10,10,0.055846422
QUALITIES,knowledgeable,0.565445026,0.144335589,10,10,0.045642921
QUALITIES,qualified,0.565445026,0.144335589,10,10,0.045642921
QUALITIES,senior,0.554973822,0.13245142,10,10,0.041884817
QUALITIES,experienced,0.544502618,0.243078329,10,10,0.076868117
QUALITIES,rising,0.534031414,0.19867713,10,10,0.062827225
QUALITIES,vibrant,0.534031414,0.19867713,10,10,0.062827225
QUALITIES,ambitious,0.495811518,0.242476781,10,10,0.076677891
QUALITIES,promising,0.486910995,0.129309833,10,10,0.04089136
QUALITIES,energetic,0.471204188,0.144335589,10,10,0.045642921
QUALITIES,holistic,0.439790576,0.165564275,10,10,0.052356021
QUALITIES,intellectual,0.439790576,0.158034645,10,10,0.049974943
QUALITIES,supportive,0.392670157,0.166390038,10,10,0.05261715
QUALITIES,motivated,0.361256545,0.199365788,10,10,0.063044998
QUALITIES,integrative,0.343979058,0.238014282,10,10,0.075266725
QUALITIES,committed,0.329842932,0.166390038,10,10,0.05261715
QUALITIES,cohessive,0.314136126,0.219645832,10,10,0.069458111
QUALITIES,lively,0.282722513,0.170994048,10,10,0.054073066
QUALITIES,collegial,0.27539267,0.175359239,10,10,0.05545346
RIGOUR,flawless,0.941320554,0.123170075,10,30,0.038949798
RIGOUR,rigorous,0.885942492,0.153023693,10,10,0.048390341
RIGOUR,meticulous,0.838178914,0.21886869,10,10,0.069212357
RIGOUR,robust,0.828594249,0.133348154,10,10,0.042168389
RIGOUR,high-level,0.785782748,0.237047462,10,10,0.074960989
RIGOUR,high-standard,0.771405751,0.258213879,10,10,0.081654398
RIGOUR,sophisticated,0.733067093,0.224796012,10,10,0.071086741
RIGOUR,painstaking,0.732907348,0.237828853,10,10,0.075208087
RIGOUR,precise,0.713897764,0.174700067,10,10,0.055245012
RIGOUR,methodical,0.699520767,0.320955499,10,10,0.101495041
RIGOUR,exacting,0.68514377,0.204548334,10,10,0.064683863
RIGOUR,thorough,0.666134185,0.214319614,10,10,0.067773813
RIGOUR,accurate,0.656549521,0.112503622,10,10,0.035576769
RIGOUR,scientific,0.632268371,0.315095639,10,10,0.09964199
RIGOUR,error-free,0.627795527,0.294380818,10,10,0.093091388
RIGOUR,powerful,0.608626198,0.281077539,10,10,0.088884522
RIGOUR,fine-grained,0.589456869,0.202314891,10,10,0.063977586
RIGOUR,strict,0.57028754,0.158138897,10,10,0.05000791
RIGOUR,detailed,0.565495208,0.203885438,10,10,0.064474237
RIGOUR,careful,0.551118211,0.060618741,10,10,0.019169329
RIGOUR,disciplined,0.551118211,0.163220956,10,10,0.051614998
RIGOUR,advanced,0.551118211,0.189281958,10,10,0.059856211
RIGOUR,discriminating,0.541533546,0.155207128,10,10,0.049080804
RIGOUR,strong,0.541533546,0.22949885,10,10,0.072573909
RIGOUR,elegant,0.536741214,0.298897114,10,10,0.094519567
RIGOUR,structured,0.531948882,0.29089277,10,10,0.091988371
RIGOUR,exact,0.522364217,0.224780308,10,10,0.071081775
RIGOUR,systematic,0.522364217,0.234775375,10,10,0.074242492
RIGOUR,quality,0.508466454,0.229259107,10,10,0.072498095
RIGOUR,coordinated,0.50798722,0.142969015,10,10,0.045210772
RIGOUR,reproducible,0.483865815,0.333127805,10,10,0.105344262
RIGOUR,cohesive,0.450479233,0.075773426,10,10,0.023961661
RIGOUR,verifiable,0.450479233,0.297356397,10,10,0.094032349
RIGOUR,complex,0.436102236,0.272784335,10,10,0.086261981
RIGOUR,integrated,0.426517572,0.251565747,10,10,0.079552074
RIGOUR,refined,0.42172524,0.214854745,10,10,0.067943036
RIGOUR,logical,0.407348243,0.088076989,10,10,0.027852389
RIGOUR,unified,0.407348243,0.190625353,10,10,0.06028103
RIGOUR,empirical,0.397603834,0.350551089,10,10,0.110853988
RIGOUR,repeatable,0.38370607,0.281454357,10,10,0.089003682
RIGOUR,nuanced,0.378594249,0.234775375,10,10,0.074242492
RIGOUR,organized,0.364217252,0.142969015,10,10,0.045210772
RIGOUR,correct,0.311501597,0.161649976,10,10,0.051118211
RIGOUR,subtle,0.196485623,0.112503622,10,10,0.035576769
SCALE,colossal,0.991489362,0.017942001,10,10,0.005673759
SCALE,monumental,0.987234043,0.020555144,10,10,0.006500107
SCALE,staggering,0.987234043,0.020555144,10,10,0.006500107
SCALE,enormous,0.961646864,0.093469586,10,10,0.029557678
SCALE,innumerable,0.935009671,0.13298394,10,10,0.042053214
SCALE,mammoth,0.930754352,0.131343976,10,10,0.041534612
SCALE,overpowering,0.926499033,0.100215908,10,10,0.031691053
SCALE,gigantic,0.918375242,0.114974636,10,30,0.036358172
SCALE,tremendous,0.896324952,0.098589972,10,10,0.031176887
SCALE,massive,0.884940591,0.128075251,10,10,0.04050095
SCALE,overwhelming,0.878916828,0.174896484,10,10,0.055307124
SCALE,greatest,0.865764023,0.177959521,10,10,0.056275742
SCALE,vast,0.852611219,0.214090013,10,10,0.067701207
SCALE,immense,0.803481625,0.184183326,10,10,0.058243882
SCALE,sweeping,0.78762089,0.148425359,10,10,0.04693622
SCALE,worldwide,0.757059961,0.198973046,10,10,0.062920802
SCALE,myriad,0.753965184,0.356227248,10,10,0.112648947
SCALE,countless,0.717988395,0.313229197,10,10,0.099051769
SCALE,exhaustive,0.70483559,0.259908669,10,10,0.082190338
SCALE,comprehensive,0.676761536,0.249638312,10,10,0.078942566
SCALE,global,0.64410058,0.213993295,10,10,0.067670622
SCALE,largest,0.64410058,0.159969618,10,10,0.050586835
SCALE,transdisciplinary,0.6384084,0.255921855,10,10,0.080929596
SCALE,biggest,0.635203095,0.223636866,10,10,0.070720186
SCALE,far-reaching,0.628460901,0.232240452,10,10,0.073440879
SCALE,fastest,0.609284333,0.183497737,10,10,0.058027079
SCALE,generous,0.609284333,0.142136736,10,10,0.044947582
SCALE,multifarious,0.591876209,0.152424668,10,10,0.048200912
SCALE,huge,0.586073501,0.243437257,10,10,0.07698162
SCALE,top,0.557059961,0.20184751,10,10,0.063829787
SCALE,diverse,0.549599337,0.194478629,10,10,0.061499542
SCALE,intense,0.543907157,0.282056442,10,10,0.089194079
SCALE,extensive,0.543907157,0.214206483,10,10,0.067738037
SCALE,expansive,0.528046422,0.189910061,10,10,0.060054834
SCALE,international,0.522243714,0.205156706,10,10,0.064876247
SCALE,abundant,0.497485493,0.276411277,10,10,0.087408921
SCALE,complete,0.470019342,0.2291886,10,10,0.072475799
SCALE,considerable,0.435203095,0.232108317,10,10,0.073399095
SCALE,deeper,0.400386847,0.269685494,10,10,0.085282041
SCALE,immediate,0.400386847,0.137317132,10,10,0.04342349
SCALE,wide-ranging,0.400386847,0.213993295,10,10,0.067670622
SCALE,substantial,0.388781431,0.241276072,10,10,0.076298193
SCALE,broad,0.3655706,0.168178454,10,10,0.053182697
SCALE,plenty,0.304642166,0.229372171,10,10,0.072533849
SCALE,prompt,0.295938104,0.137317132,10,10,0.04342349
SCALE,instant,0.287234043,0.209420686,10,10,0.066224636
